Company / Account,Lead ID,Annual Revenue,Vertical (New),MAU,연매출 구간,MAU 구간,2차 QC,티어 구분 (실시간 반영),Tier_클러스터링 기준,Tier (Vertical Quantile)
엠금융서비스,00QIg0000024k35,"225,551,000,000",전문 산업군 | Professional Services,"11,136",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 4
데이터워즈코리아,00QIg0000025WwS,"10,074,693,000",B2B & 솔루션 | B2B & Solutions,"11,126",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
글로리스,00QIg0000025bbi,"33,838,948,000",커머스 | Commerce,"11,124",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
피앤디솔루션,00QIg0000025Vq3,"10,498,371,000",B2B & 솔루션 | B2B & Solutions,"11,120",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
삼영,00QIg0000024kM1,"147,748,000,000",제조 & 유통 | Manufacturing & Distribution,"11,075",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
서울장수,00QIg0000025ZqC,"40,656,233,000",제조 & 유통 | Manufacturing & Distribution,"11,063",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
광성기업,00QIg0000024k3X,"222,414,000,000",제조 & 유통 | Manufacturing & Distribution,"11,052",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
광림,00QIg0000024k6T,"206,957,000,000",제조 & 유통 | Manufacturing & Distribution,"11,052",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
엔피씨,00QTJ00000ik5g5,"318,800,000,000",렌탈 & 모빌리티 | Rental & Mobility,"11,052",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
NPC,00QIg0000024jeo,"544,581,000,000",제조 & 유통 | Manufacturing & Distribution,"11,052",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
미래개발,00QIg0000025aaz,"20,400,000,000",여행 & 숙박 | Travel & Hospitality,"11,051",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 4
쿠라레코리아,00QIg0000024kL7,"151,165,000,000",제조 & 유통 | Manufacturing & Distribution,"11,051",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
횡성축협육가공장,00QTJ00000J8Uij,"137,000,000,000",커머스 | Commerce,"10,976",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
애경케미칼,00QIg0000024jQ4,"2,176,440,000,000",제조 & 유통 | Manufacturing & Distribution,"10,967",1조 이상,1만 - 5만 미만 ,Pass,,,Tier 3
퓨쳐시스템,00QTJ00000Hk4c0,"12,100,000,000",제조 & 유통 | Manufacturing & Distribution,"10,965",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
에스팀,00QIg0000025a3W,"20,103,826,000",전문 산업군 | Professional Services,"10,959",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
myhabit,00Q2w00000dwXlV,"29,000,000,000",커머스 | Commerce,"10,953",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
센트럴메디컬서비스,00QTJ00000lhlE9,"37,543,090,000",헬스케어 | Healthcare,"10,947",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
바다원,00QTJ00000Hk4aG,"41,324,130,000",커머스 | Commerce,"10,934",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 3
